RandomSeed,Nr. Cluster,Eps,Linkage,Threshold,Max. Iter,Min Samples,ID,Dataset,Cluster,Time Taken (seg),Accuracy Score,Purity Score,Adjusted Rand Index,Jaccard Score
,3,,,1.5,,,61,Yeast,Birch,0.03124237060546875,0.31304935767410413,0.31304935767410413,0.0,0.18557114228456914
,,,,,500,,62,Yeast,Mean Shift,3.530421257019043,0.33400946585530766,0.33400946585530766,0.03498613866480894,0.200487012987013
7821,,,,,500,,63,Yeast,Affinity Propagation,1.5933468341827393,0.6004056795131846,0.6004056795131846,0.2628688837200687,0.4289855072463768
,,1.5,,,,0.8,64,Yeast,Optics,6.92025089263916,0.31304935767410413,0.31304935767410413,0.0,0.18557114228456914
10,1,,,,100,,65,Bankruptcy,K-means,0.015620946884155273,0.967737204868749,0.967737204868749,0.0,0.9374911208978548
,1,0.1,,,,,66,Bankruptcy,DBScan,0.12497186660766602,0.967737204868749,0.967737204868749,0.0,0.9374911208978548
,1,,Ward,,,,67,Bankruptcy,Agglomerative Clustering - Ward,1.7339773178100586,0.967737204868749,0.967737204868749,0.0,0.9374911208978548
10,1,,,,,,68,Bankruptcy,Spectral Clustering,7.2027747631073,0.967737204868749,0.967737204868749,0.0,0.9374911208978548
,1,,,0.1,,,69,Bankruptcy,Birch,2.3588244915008545,0.967737204868749,0.967737204868749,0.0,0.9374911208978548
,,,,,100,,70,Bankruptcy,Mean Shift,290.3993992805481,0.967737204868749,0.967737204868749,0.0,0.9374911208978548
10,,,,,100,,71,Bankruptcy,Affinity Propagation,85.72777485847473,0.967737204868749,0.967737204868749,0.0,0.9374911208978548
,,0.1,,,,0.1,72,Bankruptcy,Optics,52.61220836639404,0.967737204868749,0.967737204868749,0.0,0.9374911208978548
57,1.5,,,,150,,73,Bankruptcy,K-means,0.024319887161254883,0.967737204868749,0.967737204868749,0.0,0.9374911208978548
,1.5,0.5,,,,,74,Bankruptcy,DBScan,0.1521131992340088,0.967737204868749,0.967737204868749,0.0,0.9374911208978548
,1.5,,Complete,,,,75,Bankruptcy,Agglomerative Clustering - Complete,2.0855793952941895,0.967737204868749,0.967737204868749,0.0,0.9374911208978548
57,1.5,,,,,,76,Bankruptcy,Spectral Clustering,8.71364974975586,0.967737204868749,0.967737204868749,0.0,0.9374911208978548
,1.5,,,0.5,,,77,Bankruptcy,Birch,2.7939982414245605,0.967737204868749,0.967737204868749,0.0,0.9374911208978548
